Hub1-Port,Customer Name,Lat,Lon,DealerType
56450,Scheppers International,38.558070,-92.196334,N
59370,H.L. Gage,42.693071,-73.845987,N
59280,Astleford Intl \& Isuzu,44.776434,-93.295184,N
55860,Astleford Intl Trucks,44.997779,-93.219530,N
59360,Ben Funk,42.188563,-73.768249,N
58860,Carl F Statz \& Sons,43.189555,-89.423547,N
59500,Defiance Truck Service,41.307365,-84.342656,N
59380,Delurey Sales \& Service,42.916212,-73.351375,N
58200,Hansen International,40.902905,-98.380217,N
59480,Heavy Equipment,42.276623,-89.567490,N
59340,J \& B International Trucks,44.500439,-73.173106,N
59050,La Farge Truck Center,43.574262,-90.639117,N
58140,Lake Truck Sales \& Service,41.727302,-81.256137,N
56070,Larsen International,41.451369,-96.472113,N
59190,Meyer International Trucks,45.413775,-91.735693,N
59260,Opdykes Sales \& Service,40.753390,-74.997299,N
59100,Portland North Truck Center,43.740415,-70.298823,N
59270,Shirk\'s International,39.347070,-85.478695,N
58880,West River International,44.110645,-103.271532,N
53030,Mouw Motor Company,43.089798,-96.176698,F
53040,Ron Alpen Ford,41.601209,-90.915727,F
53070,Courtesy Ford-Lincoln,42.031142,-97.413371,F
53100,Don Woodhams Ford,42.389742,-86.268247,F
53120,Walterboro Ford,32.922373,-80.678750,F
53130,Haselden Brothers,33.753157,-79.446050,F
53160,Roanoke Ford,40.794618,-89.198771,F
53190,Freese Motors,42.239334,-91.190311,F
53390,Wentzel Ford,44.111482,-88.696914,F
53460,Illinois Truck Center Inc,41.993307,-87.976033,
53540,Breaman Merrill Ford,45.189482,-89.680894,F
53760,Lanterman Motors,37.645260,-98.726506,F
53860,Chuck Spaeth Ford,44.288710,-94.726802,F
55020,Siouxland Trailer Sales Inc,42.519408,-96.362891,T
55160,Fairmont Ford,43.651827,-94.452912,F
55170,FMI Truck Sales \& Service Isuzu,45.584183,-122.664484,T
55240,Dorsett Ford-Mercury,39.403350,-87.694444,F
55400,Cooper Motors Inc,42.749893,-92.795597,C
55500,Busch Auto Center Inc,44.382575,-92.030250,
55610,K \& W Motors,43.059557,-92.316905,G
55690,Parkway Ford Sales,46.884334,-102.746118,F
55700,Matlock Ford,39.502522,-86.069317,F
55730,Phil\'s Ford,41.359777,-74.684540,F
55780,Select Ford,48.145862,-103.619901,F
55810,Joe Mahan Ford,36.283749,-88.302682,F
55930,We Fix Trucks,44.307521,-71.787883,T
56240,Eddie Preuitt Ford,34.448592,-86.944248,F
56250,Quality Services Corporation,41.644758,-93.577880,T
56290,O\'Connor\'s Chrysler Dodge Jeep Inc,46.224077,-84.363446,C
56300,Crowe Ford Sales,41.438700,-90.156453,F
56310,Gerald N Evenson Inc,46.568749,-96.072519,N
56350,Alex Auto and Marine,45.907490,-95.367944,
56360,Johnson Sales,43.323202,-89.326125,N
56380,NextGen Motors \& Watersports,45.242769,-92.285633,
56390,Milo Peterson Ford Co,44.287143,-92.978514,F
56400,Fitzpatrick and Lambert,41.514882,-76.408295,F
56490,Lochen Ford,43.432682,-88.046808,F
56520,West Branch Ford,41.670941,-91.353381,F
56530,The Truck Source,37.703863,-77.465199,T
56540,Martin Chrysler Dodge Jeep \& Ram,42.681649,-88.052550,C
56570,Litchfield Chrysler Center,45.123361,-94.515727,C
56590,Christianson Farm Machinery Inc,44.269653,-96.176306,H
56600,Schrunk\'s Canby Implement Co,44.702046,-96.276320,H
58260,Beller \& Backes Inc,41.696490,-97.466852,H
58310,Fred Blackbourn \& Sons Inc,42.571775,-90.232997,H
58370,Caledonia Implement Co,43.630524,-91.506231,H
58500,Finney Implement Inc,42.835982,-90.733217,H
58580,Janson Equipment Co,43.450653,-83.687344,H
58630,Lillegard Inc,46.261230,-96.667907,H
58650,Mascoutah Equipment Co Inc,38.481919,-89.754549,H
58740,Roeder Implement,42.457201,-90.677083,H
59020,Ron Drenkow Motors,43.185249,-95.819886,C
59030,Louisburg Garage Inc,42.577903,-90.555747,C
59390,Valley Truck Parts and Service Inc,47.942212,-97.020184,T
59700,Windridge Implements LLC,43.290952,-91.806565,H
59730,Martin Ford Sales,42.703825,-88.050969,F
59850,John Carpenter Ford,34.482037,-87.287517,F
56610,Huss Implement Co,42.293157,-90.620744,C
53510,Lockhart Motor Company,29.884623,-97.674803,F 
58220,Baribeau Implement Co. Inc,45.398802,-92.612484,T
